iter	RMSE
0	1.088855777
1	1.024437299
2	0.9696428496
3	0.9229554614
4	0.8824667427
5	0.8428870428
6	0.8064355779
7	0.774789117
8	0.7465573674
9	0.7194449588
10	0.6963034804
11	0.6797817008
12	0.6594086548
13	0.6442145083
14	0.6294093802
15	0.6172682987
16	0.606590315
17	0.5962887817
18	0.5870939426
19	0.579169229
20	0.5726616604
21	0.5658976984
22	0.5590842816
23	0.5533439415
24	0.5483040917
25	0.5432290737
26	0.5390510009
27	0.5361941203
28	0.531277097
29	0.5272792099
30	0.5222455183
31	0.5192524369
32	0.5156688078
33	0.5134432911
34	0.5102441004
35	0.5071220819
36	0.5046480572
37	0.5023363215
38	0.5003869517
39	0.4984074833
40	0.4958895787
41	0.4937583417
42	0.4919219822
43	0.4898308499
44	0.4877653079
45	0.4857286887
46	0.4843602244
47	0.4828558822
48	0.4809950983
49	0.4798652219
50	0.4781862169
51	0.476784441
52	0.4747801265
53	0.4734471275
54	0.4711906332
55	0.4696859317
56	0.4678598526
57	0.4666153936
58	0.4646178696
59	0.4629846484
60	0.4617194717
61	0.4602240002
62	0.4581342412
63	0.4568282322
64	0.4558128019
65	0.454614845
66	0.4534752058
67	0.4517888961
68	0.450406401
69	0.4490255723
70	0.4478680315
71	0.4463260634
72	0.4454805893
73	0.44430974
74	0.4434538059
75	0.442369206
76	0.4415470563
77	0.440571127
78	0.4395816772
79	0.4387562488
80	0.4374643195
81	0.4363831453
82	0.4355795402
83	0.4342193247
84	0.4334331831
85	0.4322217308
86	0.4312796584
87	0.4302990669
88	0.4291333815
89	0.4276158928
90	0.4268993529
91	0.4259160626
92	0.4251003287
93	0.4243804472
94	0.4232938226
95	0.4224639575
96	0.4215894526
97	0.420947359
98	0.4201774509
99	0.4196069137
