iter	Passed	Remaining
0	19	1962
1	37	1854
2	55	1790
3	73	1761
4	91	1736
5	109	1715
6	127	1692
7	144	1666
8	162	1647
9	180	1626
10	198	1607
11	216	1586
12	233	1564
13	251	1544
14	269	1524
15	286	1504
16	303	1482
17	320	1461
18	337	1440
19	355	1422
20	373	1404
21	390	1385
22	408	1367
23	425	1348
24	443	1329
25	461	1312
26	479	1295
27	496	1276
28	513	1257
29	530	1238
30	548	1221
31	565	1201
32	582	1183
33	600	1164
34	617	1146
35	635	1129
36	652	1110
37	669	1092
38	686	1074
39	703	1055
40	721	1037
41	738	1019
42	755	1001
43	772	983
44	790	965
45	807	948
46	824	929
47	841	911
48	858	893
49	876	876
50	893	858
51	910	840
52	927	822
53	944	804
54	961	787
55	979	769
56	995	751
57	1013	734
58	1030	716
59	1048	698
60	1065	681
61	1083	663
62	1100	646
63	1117	628
64	1135	611
65	1152	593
66	1170	576
67	1187	558
68	1204	541
69	1222	523
70	1238	506
71	1256	488
72	1273	470
73	1290	453
74	1308	436
75	1325	418
76	1343	401
77	1360	383
78	1377	366
79	1394	348
80	1412	331
81	1429	313
82	1446	296
83	1465	279
84	1484	261
85	1501	244
86	1518	226
87	1536	209
88	1553	192
89	1570	174
90	1587	157
91	1605	139
92	1623	122
93	1640	104
94	1657	87
95	1675	69
96	1692	52
97	1710	34
98	1728	17
99	1745	0
